Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
001120,KR7001120005,LX인터내셔널,KOSPI,,30550,2,-100,-0.33,30950,30950,30300,124822,3808949450,1184118000000,38760000,STK
137310,KR7137310009,에스디바이오센서,KOSPI,,9430,2,-230,-2.38,9600,9680,9400,157941,1501872720,1173821438790,124477353,STK
067160,KR7067160002,SOOP,KOSDAQ GLOBAL,우량기업부,102000,2,-3800,-3.59,104800,105800,100700,146677,14966689500,1172466234000,11494767,KSQ
281740,KR7281740001,레이크머티리얼즈,KOSDAQ,우량기업부,17760,1,390,2.25,17590,18230,17210,712499,12732783620,1167374532480,65730548,KSQ
069960,KR7069960003,현대백화점,KOSPI,,49750,1,1300,2.68,48450,50400,48450,107087,5340494200,1164271439750,23402441,STK
121600,KR7121600001,나노신소재,KOSDAQ,우량기업부,94900,1,100,0.11,97500,97700,94200,110233,10568336700,1157407802200,12196078,KSQ
375500,KR7375500006,DL이앤씨,KOSPI,,29900,2,-350,-1.16,30350,30350,29800,193847,5813590550,1156939327700,38693623,STK
006040,KR7006040000,동원산업,KOSPI,,31650,1,150,0.48,31550,31800,31100,15392,485789950,1140092976750,36021895,STK
253450,KR7253450001,스튜디오드래곤,KOSDAQ GLOBAL,우량기업부,37500,1,350,0.94,36800,38000,36800,59373,2226405200,1127193675000,30058498,KSQ
232140,KR7232140004,와이씨,KOSDAQ,우량기업부,13730,2,-540,-3.78,14060,14250,13700,1678903,23338046720,1126482655500,82045350,KSQ
089860,KR7089860001,롯데렌탈,KOSPI,,30450,2,-450,-1.46,30850,30850,30000,72309,2193342100,1115507218350,36634063,STK
034230,KR7034230003,파라다이스,KOSPI,,12050,1,670,5.89,11420,12130,11400,1558820,18628687960,1105848057150,91771623,STK
087010,KR7087010005,펩트론,KOSDAQ,기술성장기업부,53500,3,0,0.0,53000,54500,51900,416016,22070095200,1105168225000,20657350,KSQ
001740,KR7001740000,SK네트웍스,KOSPI,,4965,2,-95,-1.88,5010,5060,4965,496831,2485386740,1098644783430,221277902,STK
950160,KR8840120008,코오롱티슈진,KOSDAQ,외국기업(소속부없음),13780,2,-210,-1.5,14010,14170,13700,77635,1073230730,1095047129800,79466410,KSQ
082740,KR7082740002,한화엔진,KOSPI,,13120,2,-420,-3.1,13610,13610,13080,329376,4349752260,1094826503040,83447142,STK
064760,KR7064760002,티씨케이,KOSDAQ GLOBAL,우량기업부,93500,2,-1900,-1.99,94400,96200,93200,15876,1495081900,1091612500000,11675000,KSQ
365550,KR7365550003,ESR켄달스퀘어리츠,KOSPI,,5090,2,-20,-0.39,5010,5150,4985,446469,2251525575,1084623010000,213089000,STK
